configuration,action,pair,peak time seconds,triangle pairs,crossing frames,span x,span y,span z
normal,Butterfly,left.forearm / right.hand,6.325,2,1,0.0024806857109069824,0.0007119476795196533,0.00466836616396904
normal,Butterfly,left.hand / body,9.275,991,355,0.18781669437885284,0.28681257367134094,0.1443050056695938
normal,Butterfly,left.hand / right.forearm,4.158333333333333,8,208,0.0031582117080688477,0.004128515720367432,0.006501823663711548
normal,Butterfly,left.hand / right.hand,4.2,761,634,0.24194484949111938,0.1413934826850891,0.15429650247097015
normal,Butterfly,right.forearm / body,5.725,569,339,0.23541009426116943,0.17005585134029388,0.17956043779850006
normal,Butterfly,right.hand / body,6.483333333333333,709,916,0.2112852931022644,0.0822494626045227,0.23721715807914734
normal,Butterfly,right.hand / butterfly.right,4.458333333333333,231,181,0.08848392963409424,0.09569740295410156,0.023722663521766663
normal,Butterfly,right.upper-arm / body,5.775,1024,355,0.35368964076042175,0.23127683997154236,0.2302275449037552
normal,Headphones,left.forearm / headphones,1.0083333333333333,11,51,0.0010209083557128906,0.014749199151992798,0.0019219815731048584
normal,Headphones,left.hand / body,12.2,1617,1491,0.2663589417934418,0.12869732081890106,0.31385961174964905
normal,Headphones,left.hand / headphones,12.525,1267,284,0.19486397504806519,0.314243346452713,0.15715593099594116
normal,Headphones,left.hand / right.hand,1.975,672,1284,0.09526120126247406,0.24889196455478668,0.13815662264823914
normal,Headphones,right.forearm / body,13.9,41,31,0.03397360444068909,0.03579176962375641,0.04735497385263443
normal,Headphones,right.forearm / headphones,1.1,14,53,0.00299680233001709,0.012778088450431824,0.008851766586303711
normal,Headphones,right.hand / body,12.158333333333333,1397,1571,0.24523326754570007,0.2506972551345825,0.17097331583499908
normal,Headphones,right.hand / headphones,1.6333333333333333,1172,282,0.17406311631202698,0.31199535727500916,0.1569591909646988
normal,Sunglasses,left.forearm / body,1.7333333333333334,6,30,0.003175497055053711,0.006169766187667847,0.0005709826946258545
normal,Sunglasses,left.forearm / sunglasses,13.558333333333334,58,83,0.051750898361206055,0.14768454432487488,0.2641286253929138
normal,Sunglasses,left.hand / body,1.7666666666666666,1380,1592,0.31194570660591125,0.14022696018218994,0.30726027488708496
normal,Sunglasses,left.hand / right.hand,0.10833333333333334,696,1153,0.09972615540027618,0.2490803599357605,0.149857759475708
normal,Sunglasses,left.hand / sunglasses,13.633333333333333,686,414,0.1738550364971161,0.24228087067604065,0.09894905984401703
normal,Sunglasses,left.upper-arm / body,11.2,100,425,0.07145953178405762,0.05816301703453064,0.11880644410848618
normal,Sunglasses,right.hand / body,0.14166666666666666,673,1741,0.2143663913011551,0.284345805644989,0.15139204263687134
normal,Sunglasses,right.hand / sunglasses,1.0666666666666667,176,16,0.04602523893117905,0.052301812916994095,0.09309756755828857
normal,Banana,left.forearm / banana.fruit,0.6583333333333333,86,4,0.023932814598083496,0.10168853402137756,0.03227227181196213
normal,Banana,left.forearm / banana.peel,0.6583333333333333,200,5,0.034034907817840576,0.12370902299880981,0.04131197929382324
normal,Banana,left.hand / banana.fruit,4.425,329,463,0.11357204616069794,0.08529730141162872,0.09572160243988037
normal,Banana,left.hand / banana.peel,1.95,603,612,0.1453934609889984,0.08910109847784042,0.13699503242969513
normal,Banana,left.hand / body,0.18333333333333332,1258,233,0.3122149407863617,0.26262232661247253,0.19790761172771454
normal,Banana,left.hand / right.hand,0.13333333333333333,700,100,0.1043657585978508,0.24857264757156372,0.1500028669834137
normal,Banana,left.upper-arm / banana.fruit,0.6583333333333333,154,3,0.08061397075653076,0.1158614456653595,0.06947267800569534
normal,Banana,left.upper-arm / banana.peel,0.6583333333333333,353,47,0.09075069427490234,0.12811622023582458,0.07829918712377548
normal,Banana,left.upper-arm / body,0.6333333333333333,70,103,0.05444575846195221,0.045088768005371094,0.09127768129110336
normal,Banana,right.hand / banana.peel,4.408333333333333,230,47,0.038238510489463806,0.14572051167488098,0.05446256697177887
normal,Banana,right.hand / body,0.14166666666666666,673,865,0.2139730155467987,0.28438830375671387,0.15164685249328613
normal,Banana Miss,left.forearm / banana.fruit,0.6583333333333333,86,4,0.023932814598083496,0.10168853402137756,0.03227227181196213
normal,Banana Miss,left.forearm / banana.peel,0.6583333333333333,200,19,0.034034907817840576,0.12370902299880981,0.04131197929382324
normal,Banana Miss,left.hand / banana.fruit,1.4333333333333333,173,104,0.08811396360397339,0.04612883925437927,0.07306206226348877
normal,Banana Miss,left.hand / banana.peel,10.558333333333334,517,749,0.13049530982971191,0.0778467059135437,0.11296278238296509
normal,Banana Miss,left.hand / body,0.18333333333333332,1258,127,0.3122149407863617,0.26262232661247253,0.19790761172771454
normal,Banana Miss,left.hand / right.hand,0.13333333333333333,700,848,0.10436563193798065,0.2485726773738861,0.1500028669834137
normal,Banana Miss,left.upper-arm / banana.fruit,0.6583333333333333,154,3,0.08061397075653076,0.1158614456653595,0.06947267800569534
normal,Banana Miss,left.upper-arm / banana.peel,0.6583333333333333,353,3,0.09075069427490234,0.12811622023582458,0.07829918712377548
normal,Banana Miss,left.upper-arm / body,0.6333333333333333,70,255,0.05444575846195221,0.045088768005371094,0.09127768129110336
normal,Banana Miss,right.hand / banana.peel,3.5083333333333333,170,328,0.011143367737531662,0.06211654841899872,0.02597600221633911
normal,Banana Miss,right.hand / body,3.225,747,566,0.1772831827402115,0.28868168592453003,0.15851500630378723
wearables,Idle,left.hand / body,0,989,553,0.18777236342430115,0.2868112325668335,0.14431513845920563
wearables,Idle,left.hand / right.hand,0,667,553,0.09566947817802429,0.24896055459976196,0.1370006501674652
wearables,Idle,right.hand / body,0.14166666666666666,673,553,0.2143663913011551,0.284345805644989,0.15161044895648956
wearables,Look Left,left.hand / body,0.19166666666666668,1029,161,0.21107253432273865,0.28678134083747864,0.14425304532051086
wearables,Look Left,left.hand / right.hand,0,667,161,0.09566947817802429,0.24896055459976196,0.1370006501674652
wearables,Look Left,right.hand / body,0.14166666666666666,673,161,0.2143663913011551,0.284345805644989,0.15161044895648956
wearables,Look Right,left.hand / body,0,989,161,0.18777236342430115,0.2868112325668335,0.14431513845920563
wearables,Look Right,left.hand / right.hand,0,667,161,0.09566947817802429,0.24896055459976196,0.1370006501674652
wearables,Look Right,right.hand / body,0.14166666666666666,673,161,0.2143663913011551,0.284345805644989,0.15161044895648956
wearables,Chest Beat,left.hand / body,1.4416666666666667,1005,50,0.1991332471370697,0.29237890243530273,0.13288873434066772
wearables,Chest Beat,left.hand / right.hand,1.2833333333333334,1430,46,0.09367404878139496,0.23326469957828522,0.1986958235502243
wearables,Chest Beat,right.hand / body,0.13333333333333333,902,48,0.21472395956516266,0.2664840519428253,0.14709791541099548
wearables,Clap,left.forearm / right.hand,0.06666666666666667,33,76,0.024194151163101196,0.023772813379764557,0.02093920111656189
wearables,Clap,left.hand / body,0,989,183,0.1877722442150116,0.28681129217147827,0.14431506395339966
wearables,Clap,left.hand / right.forearm,1.35,152,136,0.07985955476760864,0.07343275099992752,0.12122562527656555
wearables,Clap,left.hand / right.hand,1.5166666666666666,805,156,0.14375990629196167,0.2647862136363983,0.14272953569889069
wearables,Clap,right.forearm / body,0.26666666666666666,101,78,0.1272992044687271,0.10179752111434937,0.08833755552768707
wearables,Clap,right.hand / body,0.025,769,185,0.22006461024284363,0.276426762342453,0.1489110291004181
wearables,Shrug,left.hand / body,1.7583333333333333,1368,102,0.27555444836616516,0.20592911541461945,0.2402801215648651
wearables,Shrug,left.hand / right.hand,0.325,1452,98,0.2554788589477539,0.28257766366004944,0.14111848175525665
wearables,Shrug,right.hand / body,1.7583333333333333,1370,102,0.275712251663208,0.20718905329704285,0.24066056311130524
wearables,Wave,left.hand / body,0,989,481,0.18777236342430115,0.2868112325668335,0.14431513845920563
wearables,Wave,left.hand / right.hand,0.03333333333333333,695,146,0.09674125909805298,0.26396647095680237,0.1494239717721939
wearables,Wave,right.hand / body,2.95,1358,166,0.28858500719070435,0.3002195656299591,0.16300609707832336
wearables,Wave,right.upper-arm / body,0.48333333333333334,94,297,0.07011173665523529,0.07157543301582336,0.10062502324581146
wearables,Wave,right.upper-arm / headphones,0.5,34,245,0.04424929618835449,0.03032088279724121,0.021966751664876938
wearables,Dance,left.hand / body,0,989,23,0.1877722442150116,0.28681129217147827,0.14431506395339966
wearables,Dance,left.hand / right.hand,0.075,940,36,0.1459730863571167,0.2689945101737976,0.12628348171710968
wearables,Dance,right.hand / body,0,670,29,0.21447661519050598,0.28430289030075073,0.15169058740139008
wearables,Dance,right.upper-arm / body,5.3,48,102,0.05912071466445923,0.08928725123405457,0.06002102792263031
wearables,Think,left.hand / body,0,989,481,0.18777236342430115,0.2868112325668335,0.14431513845920563
wearables,Think,left.hand / right.hand,0,667,36,0.0956697016954422,0.24896058440208435,0.13700097799301147
wearables,Think,right.hand / body,4,672,58,0.21408692002296448,0.28445369005203247,0.15140816569328308
wearables,Surprised,left.forearm / headphones,0.20833333333333334,44,8,0.033354610204696655,0.029785066843032837,0.07094712555408478
wearables,Surprised,left.hand / body,3.966666666666667,1194,44,0.18670636415481567,0.29341283440589905,0.15262462198734283
wearables,Surprised,left.hand / headphones,0.19166666666666668,562,12,0.11540624499320984,0.158117413520813,0.10644715279340744
wearables,Surprised,left.hand / right.hand,0,667,22,0.09566947817802429,0.24896055459976196,0.1370006501674652
wearables,Surprised,left.upper-arm / body,0.3333333333333333,65,429,0.044597089290618896,0.04324924945831299,0.09154756367206573
wearables,Surprised,right.hand / body,0.05,702,46,0.18023629486560822,0.2647407650947571,0.15269413590431213
wearables,Surprised,right.hand / headphones,0.20833333333333334,204,8,0.06582722067832947,0.11363139748573303,0.0570443719625473
wearables,Surprised,right.upper-arm / body,0.3416666666666667,65,429,0.044877246022224426,0.04407304525375366,0.09182948619127274
wearables,Speak,left.hand / body,0.14166666666666666,994,241,0.18880495429039001,0.28682762384414673,0.14426863193511963
wearables,Speak,left.hand / right.hand,0,667,241,0.09566947817802429,0.24896055459976196,0.1370006501674652
wearables,Speak,right.hand / body,0.14166666666666666,673,241,0.2143663913011551,0.284345805644989,0.15161044895648956
wearables,Mail Full,left.forearm / mail.door,0.6416666666666667,52,7,0.07616537809371948,0.029853368178009987,0.12347842007875443
wearables,Mail Full,left.forearm / mail.letter.back,1.7583333333333333,245,87,0.211004376411438,0.11687682569026947,0.07197707891464233
wearables,Mail Full,left.forearm / mail.letter.flap,1.75,245,87,0.20438382029533386,0.11178267002105713,0.06140720844268799
wearables,Mail Full,left.hand / body,6.133333333333334,1232,125,0.19695869088172913,0.28935506939888,0.1580635905265808
wearables,Mail Full,left.hand / mail.box,1.175,812,77,0.22763359546661377,0.2930934727191925,0.21944577991962433
wearables,Mail Full,left.hand / mail.door,0.5083333333333333,450,93,0.054341256618499756,0.2850942015647888,0.12455721199512482
wearables,Mail Full,left.hand / mail.letter.back,5.641666666666667,1347,561,0.35859760642051697,0.36348962783813477,0.07535941898822784
wearables,Mail Full,left.hand / mail.letter.flap,5.533333333333333,1447,565,0.375704824924469,0.3583762049674988,0.07314983010292053
wearables,Mail Full,left.hand / right.hand,6.175,673,77,0.09512294828891754,0.24977120757102966,0.13794128596782684
wearables,Mail Full,left.upper-arm / body,1.6083333333333334,75,40,0.05048483610153198,0.10266482830047607,0.06914796680212021
wearables,Mail Full,right.hand / body,5.466666666666667,681,317,0.25281280279159546,0.28585919737815857,0.15199029445648193
wearables,Mail Full,right.hand / mail.letter.back,1.825,801,434,0.22017349302768707,0.30515116453170776,0.052870750427246094
wearables,Mail Full,right.hand / mail.letter.flap,1.825,828,433,0.21040058135986328,0.30351710319519043,0.05188605189323425
wearables,Mail Empty,left.forearm / mail.door,0.6416666666666667,52,15,0.07616537809371948,0.029853368178009987,0.12347842007875443
wearables,Mail Empty,left.hand / body,2.216666666666667,1146,283,0.2535493075847626,0.27791744470596313,0.12961620092391968
wearables,Mail Empty,left.hand / mail.box,0.4583333333333333,240,67,0.08156824111938477,0.29300299286842346,0.11426234245300293
wearables,Mail Empty,left.hand / mail.door,0.5083333333333333,450,126,0.054341256618499756,0.2850942015647888,0.12455721199512482
wearables,Mail Empty,left.hand / right.hand,1.0833333333333333,669,274,0.09580099582672119,0.24821722507476807,0.13478656113147736
wearables,Mail Empty,left.upper-arm / body,1.3416666666666666,118,173,0.053391724824905396,0.052635129541158676,0.14789988100528717
wearables,Mail Empty,right.hand / body,0.14166666666666666,673,421,0.2143663913011551,0.284345805644989,0.15161044895648956
wearables,Mail Read,left.forearm / mail.letter.back,1.0416666666666667,218,147,0.2635469436645508,0.16774562001228333,0.03565084934234619
wearables,Mail Read,left.forearm / mail.letter.flap,1.7083333333333333,244,148,0.16170914471149445,0.1729482263326645,0.30164051055908203
wearables,Mail Read,left.hand / body,4.783333333333333,1235,136,0.19693726301193237,0.2893746495246887,0.15804240107536316
wearables,Mail Read,left.hand / mail.letter.back,4.291666666666667,1346,326,0.3585699796676636,0.3634920120239258,0.07535997778177261
wearables,Mail Read,left.hand / mail.letter.flap,0.775,1443,329,0.37602320313453674,0.3583392798900604,0.07314072549343109
wearables,Mail Read,left.hand / right.hand,0.175,673,50,0.0951240286231041,0.24977481365203857,0.13794729113578796
wearables,Mail Read,left.upper-arm / body,1.7416666666666667,379,89,0.13621538877487183,0.2475772500038147,0.17040888965129852
wearables,Mail Read,right.hand / body,0.15,673,220,0.2143600881099701,0.2843483090400696,0.15160587430000305
wearables,Mail Read,right.hand / mail.letter.back,1,751,373,0.18781426548957825,0.3442324995994568,0.05407625436782837
wearables,Mail Read,right.hand / mail.letter.flap,1.0083333333333333,768,291,0.19011110067367554,0.3503488004207611,0.05509176850318909
wearables,Mail Next,left.forearm / mail.letter.back,1.7416666666666667,218,138,0.26288488507270813,0.17016032338142395,0.03629213571548462
wearables,Mail Next,left.forearm / mail.letter.flap,1.6166666666666667,237,140,0.14182233810424805,0.18359410762786865,0.3198491930961609
wearables,Mail Next,left.hand / body,0.21666666666666667,1232,136,0.19686046242713928,0.289445698261261,0.1579655557870865
wearables,Mail Next,left.hand / mail.letter.back,6.091666666666667,1344,570,0.3585894703865051,0.3634904623031616,0.07535962015390396
wearables,Mail Next,left.hand / mail.letter.flap,5.983333333333333,1444,575,0.3757343292236328,0.35837846994400024,0.0731499195098877
wearables,Mail Next,left.hand / right.hand,6.608333333333333,674,50,0.09295374155044556,0.2526257634162903,0.13995659351348877
wearables,Mail Next,left.upper-arm / body,1.6333333333333333,464,77,0.1355098932981491,0.24438230693340302,0.21245504915714264
wearables,Mail Next,right.hand / body,5.916666666666667,679,220,0.252387672662735,0.28591978549957275,0.15188878774642944
wearables,Mail Next,right.hand / mail.letter.back,5.75,754,589,0.18783733248710632,0.344224214553833,0.05405998229980469
wearables,Mail Next,right.hand / mail.letter.flap,5.741666666666666,770,536,0.19013705849647522,0.3503419756889343,0.055080413818359375
wearables,Globe,left.hand / body,0.016666666666666666,991,83,0.18780314922332764,0.2868327796459198,0.14425525069236755
wearables,Globe,left.hand / right.hand,0.175,759,68,0.14102807641029358,0.22726044058799744,0.1232934445142746
wearables,Globe,left.hand / search.globe,1.9083333333333334,449,559,0.17346078157424927,0.04356491565704346,0.20543473958969116
wearables,Globe,right.forearm / body,0.5,21,641,0.02072564885020256,0.04845815896987915,0.010307341814041138
wearables,Globe,right.hand / body,0.041666666666666664,676,83,0.2148897349834442,0.2847754955291748,0.15178817510604858
wearables,Globe,right.upper-arm / body,0.675,303,669,0.2577821910381317,0.26471877098083496,0.15189746022224426
wearables,Juggle,left.forearm / juggle.0,1.8833333333333333,164,69,0.13681775331497192,0.2015501856803894,0.04968556761741638
wearables,Juggle,left.forearm / juggle.1,3.283333333333333,273,209,0.1411036252975464,0.21344849467277527,0.04263097047805786
wearables,Juggle,left.forearm / juggle.2,2.6,165,68,0.13755285739898682,0.20403340458869934,0.04815107583999634
wearables,Juggle,left.hand / body,0.008333333333333333,991,72,0.18777208030223846,0.28681784868240356,0.14430026710033417
wearables,Juggle,left.hand / juggle.0,3.9916666666666667,625,93,0.20130926370620728,0.08693331480026245,0.25193163752555847
wearables,Juggle,left.hand / juggle.1,0.6,801,238,0.18355339765548706,0.06979156285524368,0.216525137424469
wearables,Juggle,left.hand / juggle.2,4.875,625,93,0.2121158391237259,0.08279605954885483,0.18861305713653564
wearables,Juggle,left.hand / right.hand,0.016666666666666666,671,54,0.09559521079063416,0.24896396696567535,0.13688835501670837
wearables,Juggle,left.upper-arm / body,5.233333333333333,21,13,0.005264535546302795,0.01788768172264099,0.025317784398794174
wearables,Juggle,right.forearm / juggle.0,2.95,256,101,0.14507299661636353,0.22042661905288696,0.03357239067554474
wearables,Juggle,right.forearm / juggle.1,2.15,255,68,0.13388746976852417,0.19444826245307922,0.0879267156124115
wearables,Juggle,right.forearm / juggle.2,6.008333333333334,264,149,0.14138329029083252,0.20336219668388367,0.15129205584526062
wearables,Juggle,right.hand / body,6.666666666666667,673,76,0.2135562002658844,0.28422248363494873,0.15138162672519684
wearables,Juggle,right.hand / juggle.0,0.6916666666666667,608,191,0.22275786101818085,0.07654471695423126,0.20282012224197388
wearables,Juggle,right.hand / juggle.1,2.3666666666666667,664,95,0.19198453426361084,0.16095417737960815,0.16456365585327148
wearables,Juggle,right.hand / juggle.2,1.1083333333333334,795,235,0.2201099395751953,0.08693382889032364,0.21482008695602417
wearables,Juggle,right.upper-arm / body,2.7083333333333335,22,31,0.005722135305404663,0.0192909836769104,0.02787909470498562
wearables,Write,left.forearm / body,6.066666666666666,439,164,0.4269648492336273,0.27831435203552246,0.1871197521686554
wearables,Write,left.forearm / write.pad,2.775,23,82,0.05689939111471176,0.03382256627082825,0.059633612632751465
wearables,Write,left.hand / body,0.2,1494,594,0.33783483505249023,0.29340851306915283,0.17817074060440063
wearables,Write,left.hand / right.hand,6.916666666666667,670,71,0.09502959996461868,0.24881599843502045,0.13670244812965393
wearables,Write,left.hand / write.pad,1.1666666666666667,832,436,0.1707131564617157,0.24587683379650116,0.08436194062232971
