configuration,action,pair,before crossing frames,after crossing frames,before peak triangle pairs,after peak triangle pairs,after peak time
wearables,Clap,left.hand / right.hand,156,152,805,634,0.08333333333333333
wearables,Clap,right.forearm / body,78,78,101,101,0.26666666666666666
wearables,Clap,right.hand / body,185,175,769,584,1.4333333333333333
wearables,Shrug,left.hand / body,102,18,1368,1064,1.7583333333333333
wearables,Shrug,left.hand / right.hand,98,14,1452,1119,0.3333333333333333
wearables,Shrug,right.hand / body,102,18,1370,1135,1.7583333333333333
wearables,Wave,left.hand / body,481,0,989,0,
wearables,Wave,left.hand / right.hand,146,0,695,0,
wearables,Wave,right.hand / body,166,0,1358,0,
wearables,Wave,right.upper-arm / body,297,297,94,94,0.48333333333333334
wearables,Wave,right.upper-arm / headphones,245,245,34,34,0.5
wearables,Dance,left.hand / body,23,0,989,0,
wearables,Dance,left.hand / right.hand,36,0,940,0,
wearables,Dance,right.hand / body,29,0,670,0,
wearables,Dance,right.upper-arm / body,102,102,48,48,5.3
wearables,Think,left.hand / body,481,0,989,0,
wearables,Think,left.hand / right.hand,36,0,667,0,
wearables,Think,right.hand / body,58,26,672,277,0.225
wearables,Surprised,left.forearm / headphones,8,0,44,0,
wearables,Surprised,left.hand / body,44,0,1194,0,
wearables,Surprised,left.hand / headphones,12,0,562,0,
wearables,Surprised,left.hand / right.hand,22,0,667,0,
wearables,Surprised,left.upper-arm / body,429,429,65,64,0.3416666666666667
wearables,Surprised,right.hand / body,46,6,702,58,0.09166666666666666
wearables,Surprised,right.hand / headphones,8,0,204,0,
wearables,Surprised,right.upper-arm / body,429,429,65,64,0.3333333333333333
wearables,Speak,left.hand / body,241,0,994,0,
wearables,Speak,left.hand / right.hand,241,0,667,0,
wearables,Speak,right.hand / body,241,0,673,0,
wearables,Mail Full,left.forearm / mail.door,7,7,52,52,0.6416666666666667
wearables,Mail Full,left.forearm / mail.letter.back,87,87,245,245,1.7583333333333333
wearables,Mail Full,left.forearm / mail.letter.flap,87,87,245,245,1.75
wearables,Mail Full,left.hand / body,125,48,1232,657,5.983333333333333
wearables,Mail Full,left.hand / mail.box,77,76,812,812,1.175
wearables,Mail Full,left.hand / mail.door,93,98,450,480,0.8916666666666667
wearables,Mail Full,left.hand / mail.letter.back,561,558,1347,1347,5.641666666666667
wearables,Mail Full,left.hand / mail.letter.flap,565,563,1447,1447,5.533333333333333
wearables,Mail Full,left.hand / right.hand,77,11,673,358,1.825
wearables,Mail Full,left.upper-arm / body,40,37,75,75,1.6083333333333334
wearables,Mail Full,right.hand / body,317,0,681,0,
wearables,Mail Full,right.hand / mail.letter.back,434,449,801,782,1.8
wearables,Mail Full,right.hand / mail.letter.flap,433,449,828,810,1.8083333333333333
wearables,Mail Empty,left.forearm / mail.door,15,15,52,52,0.6416666666666667
wearables,Mail Empty,left.hand / body,283,0,1146,0,
wearables,Mail Empty,left.hand / mail.box,67,66,240,240,0.4583333333333333
wearables,Mail Empty,left.hand / mail.door,126,129,450,486,2.283333333333333
wearables,Mail Empty,left.hand / right.hand,274,1,669,63,1.025
wearables,Mail Empty,left.upper-arm / body,173,170,118,119,1.3416666666666666
wearables,Mail Empty,right.hand / body,421,0,673,0,
wearables,Mail Read,left.forearm / mail.letter.back,147,147,218,218,1.0416666666666667
wearables,Mail Read,left.forearm / mail.letter.flap,148,148,244,244,1.7083333333333333
wearables,Mail Read,left.hand / body,136,86,1235,657,0.35833333333333334
wearables,Mail Read,left.hand / mail.letter.back,326,326,1346,1346,4.291666666666667
wearables,Mail Read,left.hand / mail.letter.flap,329,329,1443,1443,0.775
wearables,Mail Read,left.hand / right.hand,50,10,673,150,4.75
wearables,Mail Read,left.upper-arm / body,89,85,379,379,1.7416666666666667
wearables,Mail Read,right.hand / body,220,0,673,0,
wearables,Mail Read,right.hand / mail.letter.back,373,395,751,715,0.975
wearables,Mail Read,right.hand / mail.letter.flap,291,315,768,744,0.9833333333333333
wearables,Mail Next,left.forearm / mail.letter.back,138,138,218,218,1.7416666666666667
wearables,Mail Next,left.forearm / mail.letter.flap,140,140,237,237,1.6166666666666667
wearables,Mail Next,left.hand / body,136,86,1232,657,0.35833333333333334
wearables,Mail Next,left.hand / mail.letter.back,570,570,1344,1345,6.091666666666667
wearables,Mail Next,left.hand / mail.letter.flap,575,575,1444,1444,5.983333333333333
wearables,Mail Next,left.hand / right.hand,50,10,674,148,0.25
wearables,Mail Next,left.upper-arm / body,77,73,464,464,1.6333333333333333
wearables,Mail Next,right.hand / body,220,0,679,0,
wearables,Mail Next,right.hand / mail.letter.back,589,611,754,716,5.775
wearables,Mail Next,right.hand / mail.letter.flap,536,560,770,744,0.9833333333333333
wearables,Globe,left.hand / body,83,0,991,0,
wearables,Globe,left.hand / right.hand,68,0,759,0,
wearables,Globe,left.hand / search.globe,559,559,449,449,1.9083333333333334
wearables,Globe,right.forearm / body,641,635,21,18,0.5333333333333333
wearables,Globe,right.hand / body,83,0,676,0,
wearables,Globe,right.upper-arm / body,669,663,303,303,0.675
wearables,Juggle,left.forearm / juggle.0,69,69,164,164,1.8833333333333333
wearables,Juggle,left.forearm / juggle.1,209,209,273,273,3.283333333333333
wearables,Juggle,left.forearm / juggle.2,68,68,165,165,2.6
wearables,Juggle,left.hand / body,72,0,991,0,
wearables,Juggle,left.hand / juggle.0,93,93,625,625,3.9916666666666667
wearables,Juggle,left.hand / juggle.1,238,238,801,754,0.6083333333333333
wearables,Juggle,left.hand / juggle.2,93,93,625,625,4.875
wearables,Juggle,left.hand / right.hand,54,0,671,0,
wearables,Juggle,left.upper-arm / body,13,13,21,21,5.233333333333333
wearables,Juggle,right.forearm / juggle.0,101,101,256,256,2.95
wearables,Juggle,right.forearm / juggle.1,68,68,255,255,2.15
wearables,Juggle,right.forearm / juggle.2,149,149,264,264,6.008333333333334
wearables,Juggle,right.hand / body,76,0,673,0,
wearables,Juggle,right.hand / juggle.0,191,191,608,608,0.65
wearables,Juggle,right.hand / juggle.1,95,95,664,664,2.3666666666666667
wearables,Juggle,right.hand / juggle.2,235,235,795,795,1.1083333333333334
wearables,Juggle,right.upper-arm / body,31,31,22,22,2.7083333333333335
wearables,Write,left.forearm / body,164,154,439,439,6.066666666666666
wearables,Write,left.forearm / write.pad,82,82,23,23,2.775
wearables,Write,left.hand / body,594,551,1494,1022,0.275
wearables,Write,left.hand / right.hand,71,9,670,58,0.25
wearables,Write,left.hand / write.pad,436,436,832,832,1.1666666666666667
wearables,Write,left.hand / write.pencil,688,688,318,318,0.7416666666666667
wearables,Write,left.upper-arm / body,494,488,330,330,5.891666666666667
wearables,Write,right.forearm / write.pad,51,51,324,324,0.7333333333333333
wearables,Write,right.hand / body,79,40,1047,673,0.26666666666666666
wearables,Write,right.hand / write.pad,98,98,92,92,0.7166666666666667
wearables,Write,right.upper-arm / body,19,13,52,35,0.3333333333333333
wearables,Write Pause,left.forearm / body,164,154,430,430,3.966666666666667
wearables,Write Pause,left.hand / body,402,359,1494,1022,0.275
wearables,Write Pause,left.hand / right.hand,71,9,670,58,0.25
wearables,Write Pause,left.hand / write.pad,157,157,832,832,1.1666666666666667
wearables,Write Pause,left.hand / write.pencil,436,436,318,318,0.7416666666666667
wearables,Write Pause,left.upper-arm / body,240,234,328,328,0.9666666666666667
wearables,Write Pause,right.forearm / write.pad,51,51,324,324,0.7333333333333333
wearables,Write Pause,right.hand / body,79,40,1049,673,0.26666666666666666
wearables,Write Pause,right.hand / write.pad,98,98,92,92,0.7166666666666667
wearables,Write Pause,right.upper-arm / body,19,13,51,35,0.3333333333333333
wearables,Write Once,left.forearm / body,164,154,437,437,5.416666666666667
wearables,Write Once,left.forearm / write.pad,34,34,23,23,2.95
wearables,Write Once,left.hand / body,500,457,1494,1022,0.275
wearables,Write Once,left.hand / right.hand,71,9,670,58,0.25
wearables,Write Once,left.hand / write.pad,268,268,832,832,1.1666666666666667
wearables,Write Once,left.hand / write.pencil,610,610,318,318,0.7416666666666667
wearables,Write Once,left.upper-arm / body,342,336,331,331,5.241666666666666
wearables,Write Once,right.forearm / write.pad,51,51,324,324,0.7333333333333333
wearables,Write Once,right.hand / body,79,40,1050,673,0.26666666666666666
wearables,Write Once,right.hand / write.pad,99,99,92,92,0.7166666666666667
wearables,Write Once,right.upper-arm / body,19,13,52,36,6.033333333333333
wearables,Write Again,left.forearm / body,164,154,436,436,5.166666666666667
wearables,Write Again,left.forearm / write.pad,28,28,23,23,2.775
wearables,Write Again,left.hand / body,483,440,1494,1022,0.275
wearables,Write Again,left.hand / right.hand,71,9,670,58,0.25
wearables,Write Again,left.hand / write.pad,250,250,832,832,1.1666666666666667
wearables,Write Again,left.hand / write.pencil,580,580,318,318,0.7416666666666667
wearables,Write Again,left.upper-arm / body,325,319,332,332,4.991666666666666
wearables,Write Again,right.forearm / write.pad,51,51,324,324,0.7333333333333333
wearables,Write Again,right.hand / body,79,40,1050,673,0.26666666666666666
wearables,Write Again,right.hand / write.pad,97,97,92,92,0.7166666666666667
